up_count,down_count,ngram,total_count,polar_score,polarity
7,18, 불확실성/NNG;낮/VV,25,0.5646772473763753,Dovish
43,83,혜택/NNG,126,0.7522550593275636,Dovish
11,27,위기관리/NNG,38,0.5915666401085836,Dovish
21,46,지도자/NNG,67,0.6628819860505275,Dovish
11,24,동료/NNG,35,0.6655124701221565,Dovish
81,158,보호무역주의/NNG,239,0.7443936950042995,Dovish
80,196,강연/NNG,276,0.5926641663425514,Dovish
3,15,전략비축유/NNG,18,0.2904054415078502,Dovish
8,18, 반품/NNG,26,0.6453454255730003,Dovish
6,20, 반도/NNG,26,0.43560816226177523,Dovish
6,12, 미리/MAG;금리/NNG;오르/VV,18,0.7260136037696254,Dovish
5,16, 소비자/NNG;신뢰지수/NNG;최저/NNG;떨어/VV,21,0.4537585023560159,Dovish
35,73, 합격자/NNG,108,0.6961774282722436,Dovish
18,45,멀티/NNG,63,0.5808108830157004,Dovish
19,37,고강/NNG,56,0.7456355930606964,Dovish
9,23, 생겨야/VV,32,0.5681845594718807,Dovish
22,58, 비칠/VV,80,0.5507689407907503,Dovish
51,131,유력/NNG,182,0.5652930349961969,Dovish
56,119,초대/NNG,175,0.6833069211949415,Dovish
7,23, 기업/NNG;실적/NNG;악영향/NNG,30,0.441921324033685,Dovish
17,46, 헤어/NNG,63,0.5366187506123319,Dovish
14,36, 어우러진/VV,50,0.5646772473763753,Dovish
13,32, 조모/NNG,45,0.5898860530628207,Dovish
12,39, 단해/NNG,51,0.4467776023197695,Dovish
6,22, 증과/NNG,28,0.3960074202379775,Dovish
26,57,분할상환/NNG,83,0.6623281999301845,Dovish
5,12, 경기/NNG;침체/NNG;최악/NNG,17,0.6050113364746877,Dovish
1,18, 투자자금/NNG;빠지/VV,19,0.08066817819662504,Dovish
8,22, 빗방울/NNG,30,0.5280098936506367,Dovish
11,48, 고용/NNG;지표/NNG;견조/NNG,59,0.33275623506107826,Dovish
7,15, 지표/NNG;저조/NNG,22,0.6776126968516504,Dovish
32,64, 차분히/MAG,96,0.7260136037696253,Dovish
5,13, 투자/NNG;저변/NNG;확대/NNG,18,0.5584720028997119,Dovish
4,12, 세계/NNG;경제/NNG;확장/NNG,16,0.4840090691797502,Dovish
5,14,지지력/NNG,19,0.5185811455497324,Dovish
2,14, 공포/NNG;아니/VCN,16,0.20743245821989298,Dovish
7,22, 제의했/VV,29,0.4620086569443071,Dovish
75,149,시대/NNG,224,0.7308861782915692,Dovish
11,31, 매매비중/NNG,42,0.5152354607397341,Dovish
6,15,타운/NNG,21,0.5808108830157004,Dovish
36,74,중진/NNG,110,0.7063916144785545,Dovish
20,45, 겸직/NNG,65,0.6453454255730003,Dovish
4,13, 연후/NNG,17,0.44677760231976943,Dovish
15,32, 뜬/VV,47,0.6806377535340238,Dovish
8,24, 산위/NNG,32,0.4840090691797502,Dovish
3,16, 잠긴/VV,19,0.27225510141360953,Dovish
7,14, 두꺼비/NNG,21,0.7260136037696254,Dovish
8,23, 띠/NNG,31,0.5050529417527828,Dovish
7,27, 국보/NNG,34,0.37645149825091684,Dovish
9,22, 지표/NNG;악재/NNG,31,0.5940111303569663,Dovish
8,22, 캔터/NNG,30,0.5280098936506367,Dovish
6,17, 연착/NNG,23,0.5124801908962061,Dovish
12,37,수출국/NNG,49,0.47092774298570295,Dovish
33,64,차주/NNG,97,0.7487015288874261,Dovish
5,17,미성년자/NNG,22,0.42706682574683846,Dovish
32,71,소수/NNG,103,0.6544347977641692,Dovish
19,48,복리/NNG,67,0.5747607696509535,Dovish
3,32, 원유/NNG;생산/NNG;줄/VV,35,0.13612755070680477,Dovish
6,23,타격/NNG,29,0.3787897063145872,Dovish
13,28, 들여야/VV,41,0.6741554892146522,Dovish
14,35, 쓰리/NNG,49,0.5808108830157003,Dovish
6,17, 소실/NNG,23,0.5124801908962061,Dovish
5,18, 설마/NNG,23,0.4033408909831252,Dovish
23,55, 강풍/NNG,78,0.6072113776982321,Dovish
2,18, 던질지/VV,20,0.16133635639325009,Dovish
7,14, 과수원/NNG,21,0.7260136037696254,Dovish
6,32, 금융위기/NNG;막/VV,38,0.27225510141360953,Dovish
3,14,처지/NNG,17,0.3111486873298395,Dovish
3,14, 하락/NNG;막지/NNG;못하/VX,17,0.3111486873298395,Dovish
5,14, 산업/NNG;생산/NNG;지표/NNG;호조/NNG,19,0.5185811455497324,Dovish
6,14,흐를수록/VV,20,0.622297374659679,Dovish
19,39,적발/NNG,58,0.707397870339635,Dovish
8,16,고삐/NNG,24,0.7260136037696253,Dovish
6,12, 불황/NNG;길/VA,18,0.7260136037696254,Dovish
15,51, 상업지/NNG,66,0.4270668257468384,Dovish
19,75, 기업/NNG;도산/NNG,94,0.3678468925766102,Dovish
17,40, 군부대/NNG,57,0.6171115632041816,Dovish
55,109, 육군/NNG,164,0.732674279033567,Dovish
10,21, 국공유지/NNG,31,0.6914415273996433,Dovish
6,25, 비사업용토지/NNG,31,0.34848652980942024,Dovish
5,20, 전세자금/NNG;대출/NNG;금리/NNG;인하/NNG,25,0.3630068018848127,Dovish
5,19, 피해/NNG;심각/NNG,24,0.38211242303664494,Dovish
15,38,고도/NNG,53,0.5731686345549674,Dovish
29,66, 치료비/NNG,95,0.6380119548278526,Dovish
21,45, 타개책/NNG,66,0.6776126968516504,Dovish
22,62,지급보증/NNG,84,0.5152354607397341,Dovish
5,11, 위험/NNG;없애/VV,16,0.6600123670632958,Dovish
1,20,외화증권/NNG,21,0.07260136037696253,Dovish
37,71,정상화/NNG,108,0.7566902349148208,Dovish
11,24, 촘촘히/MAG,35,0.6655124701221565,Dovish
15,36, 협소/NNG,51,0.6050113364746877,Dovish
7,22,납부/NNG,29,0.4620086569443071,Dovish
4,12, 토지거래허가/NNG,16,0.4840090691797502,Dovish
4,23, 부탁드립니다/VV,27,0.2525264708763914,Dovish
7,19,증가분/NNG,26,0.5349573922513029,Dovish
4,18, 재정/NNG;확보/NNG,22,0.32267271278650017,Dovish
39,123,취득세/NNG,162,0.4603988706831771,Dovish
6,14, 취득가액/NNG,20,0.622297374659679,Dovish
6,12, 일괄처리/NNG,18,0.7260136037696254,Dovish
7,22, 번거로운/VA,29,0.4620086569443071,Dovish
93,191, 수법/NNG,284,0.7070080120479074,Dovish
5,17,사회주의/NNG,22,0.42706682574683846,Dovish
11,24, 重慶/NNG,35,0.6655124701221565,Dovish
15,38, 蘇/NNG,53,0.5731686345549674,Dovish
6,15, 안후이/NNG,21,0.5808108830157004,Dovish
7,14, 후난/NNG,21,0.7260136037696254,Dovish
8,18, 湖/NNG,26,0.6453454255730003,Dovish
35,75,광역시/NNG,110,0.6776126968516504,Dovish
16,110,파격적/VAX,126,0.21120395746025464,Dovish
4,12,유휴/NNG,16,0.4840090691797502,Dovish
13,26, 뒤바뀔/VV,39,0.7260136037696254,Dovish
8,23, 흡족/NNG,31,0.5050529417527828,Dovish
23,50,덧붙이/VV,73,0.6679325154680553,Dovish
12,49, 택지비/NNG,61,0.3555984998055308,Dovish
7,14,서민주택/NNG,21,0.7260136037696254,Dovish
12,28, 건설비/NNG,40,0.622297374659679,Dovish
130,268, 强/NNG,398,0.7043415558959052,Dovish
5,13, 하단/NNG;저점/NNG,18,0.5584720028997119,Dovish
10,20, 대료/NNG,30,0.7260136037696254,Dovish
5,14,택지지구/NNG,19,0.5185811455497324,Dovish
