ngram,total_count,up_count,down_count,polarity_score,polarity
신분/NNG,343,108,158,0.6835443037974683,Dovish
울/NNG,65,23,34,0.6764705882352942,Dovish
탕감/NNG,639,172,323,0.5325077399380805,Dovish
공적자금/NNG,1272,480,626,0.7667731629392971,Dovish
투입/NNG,5970,2111,2751,0.767357324609233,Dovish
공직/NNG,613,206,284,0.7253521126760564,Dovish
모자란/VV,332,111,148,0.75,Dovish
수포/NNG,44,14,23,0.6086956521739131,Dovish
지하경제/NNG,223,54,115,0.46956521739130436,Dovish
통했/VV,161,49,64,0.765625,Dovish
수서/NNG,27,6,18,0.3333333333333333,Dovish
금융시장/NNG;안정/NNG,1462,520,719,0.7232267037552156,Dovish
금리/NNG;낮/VV,2425,749,1136,0.659330985915493,Dovish
경제/NNG;경기/NNG;침체/NNG,88,33,47,0.7021276595744681,Dovish
청사진/NNG,288,103,135,0.762962962962963,Dovish
질타/NNG,437,136,214,0.6355140186915887,Dovish
국유화/NNG,485,143,312,0.4583333333333333,Dovish
수익성/NNG;건전성/NNG;악화/NNG,31,10,14,0.7142857142857143,Dovish
은행/NNG;건전성/NNG;악화/NNG,49,14,27,0.5185185185185185,Dovish
금리/NNG;경쟁/NNG;자제/NNG,20,8,11,0.7272727272727273,Dovish
은행/NNG;금리/NNG;인하/NNG,264,81,131,0.6183206106870229,Dovish
면했/VV,83,26,44,0.5909090909090909,Dovish
금리/NNG;내리/VV,4377,1308,2158,0.6061167747914736,Dovish
질병/NNG,724,245,333,0.7357357357357357,Dovish
뗄/VV,85,26,35,0.7428571428571429,Dovish
성인병/NNG,18,5,9,0.5555555555555556,Dovish
발병/NNG,169,54,80,0.675,Dovish
초저금리/NNG,3864,1158,1680,0.6892857142857143,Dovish
일구/VV,34,9,13,0.6923076923076923,Dovish
일방통행/NNG,41,12,25,0.48,Dovish
전망/NNG;유가/NNG;급락/NNG,16,6,8,0.75,Dovish
끈질기/VA,65,23,30,0.7666666666666667,Dovish
소매/NNG;판매/NNG;늘/VV;증가/NNG,24,8,11,0.7272727272727273,Dovish
금리/NNG;최저/NNG,458,148,207,0.714975845410628,Dovish
고용/NNG;지표/NNG;개선/NNG,466,134,206,0.6504854368932039,Dovish
분양시장/NNG,1317,458,614,0.745928338762215,Dovish
미달사태/NNG,72,24,37,0.6486486486486487,Dovish
꺼리/VV,1204,414,547,0.7568555758683729,Dovish
당첨자/NNG,326,105,151,0.695364238410596,Dovish
호수/NNG,255,69,123,0.5609756097560976,Dovish
오피스텔/NNG,3693,1161,1634,0.7105263157894737,Dovish
임차인/NNG,714,205,358,0.5726256983240223,Dovish
금리/NNG;웃돌/VV,159,54,82,0.6585365853658537,Dovish
고꾸라졌/VV,104,32,49,0.6530612244897959,Dovish
경제개발협력기구/NNG,45,13,21,0.6190476190476191,Dovish
기대/NNG;걸/VV;어렵/VA,30,9,16,0.5625,Dovish
금리/NNG;오르/VV;막/VV,16,5,9,0.5555555555555556,Dovish
