up_count,down_count,ngram,total_count,polar_score,polarity
17,1, 북반구/NNG,18,24.684462528167266,Hawkish
17,0, 숭어/NNG,17,inf,Hawkish
17,0, 망둥이/NNG,17,inf,Hawkish
35,36, 뛴다/VV,71,1.4116931184409385,Hawkish
19,4, 원자재/NNG;가격/NNG;상승/NNG;압력/NNG,23,6.897129235811442,Hawkish
18,4, 금리/NNG;하락/NNG;채권/NNG;강세/NNG,22,6.534122433926629,Hawkish
18,3, 금리/NNG;상승/NNG;채권/NNG;약세/NNG,21,8.712163245235505,Hawkish
18,1, 예상/NNG;채권/NNG;금리/NNG;상승/NNG,19,26.136489735706515,Hawkish
21,20, 과잉/NNG;유동성/NNG;해소/NNG,41,1.5246285679162133,Hawkish
29,27, 신규/NNG;대출/NNG;급증/NNG,56,1.559584778468084,Hawkish
15,11, 곡물/NNG;가격/NNG;안정/NNG,26,1.9800371011898874,Hawkish
8,8, 경기/NNG;판단/NNG;긍정적/VAX,16,1.4520272075392506,Hawkish
18,19, 단기/NNG;하락/NNG;압력/NNG,37,1.375604722931922,Hawkish
24,13,디레버리징/NNG,37,2.680665613918617,Hawkish
21,21, 미뤄져/VV,42,1.4520272075392509,Hawkish
20,20, 효/NNG,40,1.4520272075392509,Hawkish
11,6, 성장/NNG;전망/NNG;불확실성/NNG,17,2.662049880488626,Hawkish
22,6, 개선/NNG;경제/NNG;성장/NNG,28,5.324099760977252,Hawkish
11,8, 실업률/NNG;전망/NNG;하향/NNG,19,1.9965374103664697,Hawkish
24,20, 채권/NNG;일드커브/NNG;플래트닝/NNG,44,1.742432649047101,Hawkish
11,8, 신규/NNG;주택가격/NNG;상승/NNG,19,1.9965374103664697,Hawkish
13,9, 소비/NNG;지출/NNG;개선/NNG,22,2.097372633112251,Hawkish
11,12, 소비/NNG;지출/NNG;성장/NNG,23,1.331024940244313,Hawkish
10,9, 근로/NNG;소득/NNG;증가/NNG,19,1.6133635639325008,Hawkish
35,0, 하향/NNG;등급/NNG;하향/NNG,35,inf,Hawkish
19,17, 경기/NNG;우려/NNG;완화/NNG,36,1.622853937837986,Hawkish
10,7, 안정성/NNG;위험/NNG,17,2.07432458219893,Hawkish
15,15, 투자/NNG;미루/VV,30,1.4520272075392506,Hawkish
11,8, 자동차협회/NNG,19,1.9965374103664697,Hawkish
18,3, 장목/NNG,21,8.712163245235505,Hawkish
11,10, 경제/NNG;물가/NNG;상승/NNG;압력/NNG,21,1.5972299282931757,Hawkish
19,16, 원화/NNG;강세/NNG;제한/NNG,35,1.7242823089528605,Hawkish
14,7, 하락/NNG;수출/NNG;둔화/NNG,21,2.9040544150785017,Hawkish
18,20, 주문/NNG;급증/NNG,38,1.3068244867853258,Hawkish
27,16, 생산/NNG;호조/NNG,43,2.4502959127224857,Hawkish
144,134, 윈도드레싱/NNG,278,1.5603874469078518,Hawkish
13,7, 리비/NNG,20,2.6966219568586087,Hawkish
